index,HHID,HLID,country
6_Congo_MICS6_2_11_2,6_Congo_MICS6_2_11,6_Congo_MICS6_2_11_2,Congo_MICS6
6_Congo_MICS6_2_12_1,6_Congo_MICS6_2_12,6_Congo_MICS6_2_12_1,Congo_MICS6
6_Congo_MICS6_2_13_2,6_Congo_MICS6_2_13,6_Congo_MICS6_2_13_2,Congo_MICS6
6_Congo_MICS6_2_14_2,6_Congo_MICS6_2_14,6_Congo_MICS6_2_14_2,Congo_MICS6
6_Congo_MICS6_2_15_2,6_Congo_MICS6_2_15,6_Congo_MICS6_2_15_2,Congo_MICS6
6_Congo_MICS6_2_16_2,6_Congo_MICS6_2_16,6_Congo_MICS6_2_16_2,Congo_MICS6
6_Congo_MICS6_2_18_2,6_Congo_MICS6_2_18,6_Congo_MICS6_2_18_2,Congo_MICS6
6_Congo_MICS6_2_19_2,6_Congo_MICS6_2_19,6_Congo_MICS6_2_19_2,Congo_MICS6
6_Congo_MICS6_2_20_5,6_Congo_MICS6_2_20,6_Congo_MICS6_2_20_5,Congo_MICS6
6_Congo_MICS6_2_20_6,6_Congo_MICS6_2_20,6_Congo_MICS6_2_20_6,Congo_MICS6
6_Congo_MICS6_2_21_2,6_Congo_MICS6_2_21,6_Congo_MICS6_2_21_2,Congo_MICS6
6_Congo_MICS6_2_21_7,6_Congo_MICS6_2_21,6_Congo_MICS6_2_21_7,Congo_MICS6
6_Congo_MICS6_2_22_4,6_Congo_MICS6_2_22,6_Congo_MICS6_2_22_4,Congo_MICS6
6_Congo_MICS6_2_22_5,6_Congo_MICS6_2_22,6_Congo_MICS6_2_22_5,Congo_MICS6
6_Congo_MICS6_2_22_6,6_Congo_MICS6_2_22,6_Congo_MICS6_2_22_6,Congo_MICS6
6_Congo_MICS6_2_22_7,6_Congo_MICS6_2_22,6_Congo_MICS6_2_22_7,Congo_MICS6
6_Congo_MICS6_2_24_2,6_Congo_MICS6_2_24,6_Congo_MICS6_2_24_2,Congo_MICS6
6_Congo_MICS6_2_25_1,6_Congo_MICS6_2_25,6_Congo_MICS6_2_25_1,Congo_MICS6
6_Congo_MICS6_2_26_2,6_Congo_MICS6_2_26,6_Congo_MICS6_2_26_2,Congo_MICS6
6_Congo_MICS6_2_26_3,6_Congo_MICS6_2_26,6_Congo_MICS6_2_26_3,Congo_MICS6
6_Congo_MICS6_2_27_2,6_Congo_MICS6_2_27,6_Congo_MICS6_2_27_2,Congo_MICS6
6_Congo_MICS6_2_27_3,6_Congo_MICS6_2_27,6_Congo_MICS6_2_27_3,Congo_MICS6
6_Congo_MICS6_2_27_4,6_Congo_MICS6_2_27,6_Congo_MICS6_2_27_4,Congo_MICS6
6_Congo_MICS6_2_27_5,6_Congo_MICS6_2_27,6_Congo_MICS6_2_27_5,Congo_MICS6
6_Congo_MICS6_2_28_2,6_Congo_MICS6_2_28,6_Congo_MICS6_2_28_2,Congo_MICS6
6_Congo_MICS6_2_29_2,6_Congo_MICS6_2_29,6_Congo_MICS6_2_29_2,Congo_MICS6
6_Congo_MICS6_2_30_2,6_Congo_MICS6_2_30,6_Congo_MICS6_2_30_2,Congo_MICS6
6_Congo_MICS6_3_1_2,6_Congo_MICS6_3_1,6_Congo_MICS6_3_1_2,Congo_MICS6
6_Congo_MICS6_3_2_1,6_Congo_MICS6_3_2,6_Congo_MICS6_3_2_1,Congo_MICS6
6_Congo_MICS6_3_2_2,6_Congo_MICS6_3_2,6_Congo_MICS6_3_2_2,Congo_MICS6
6_Congo_MICS6_3_2_5,6_Congo_MICS6_3_2,6_Congo_MICS6_3_2_5,Congo_MICS6
6_Congo_MICS6_3_2_7,6_Congo_MICS6_3_2,6_Congo_MICS6_3_2_7,Congo_MICS6
6_Congo_MICS6_3_2_8,6_Congo_MICS6_3_2,6_Congo_MICS6_3_2_8,Congo_MICS6
6_Congo_MICS6_3_3_2,6_Congo_MICS6_3_3,6_Congo_MICS6_3_3_2,Congo_MICS6
6_Congo_MICS6_3_3_5,6_Congo_MICS6_3_3,6_Congo_MICS6_3_3_5,Congo_MICS6
6_Congo_MICS6_3_4_2,6_Congo_MICS6_3_4,6_Congo_MICS6_3_4_2,Congo_MICS6
6_Congo_MICS6_3_4_4,6_Congo_MICS6_3_4,6_Congo_MICS6_3_4_4,Congo_MICS6
6_Congo_MICS6_3_4_7,6_Congo_MICS6_3_4,6_Congo_MICS6_3_4_7,Congo_MICS6
6_Congo_MICS6_3_4_8,6_Congo_MICS6_3_4,6_Congo_MICS6_3_4_8,Congo_MICS6
6_Congo_MICS6_3_6_2,6_Congo_MICS6_3_6,6_Congo_MICS6_3_6_2,Congo_MICS6
6_Congo_MICS6_3_6_7,6_Congo_MICS6_3_6,6_Congo_MICS6_3_6_7,Congo_MICS6
6_Congo_MICS6_3_8_2,6_Congo_MICS6_3_8,6_Congo_MICS6_3_8_2,Congo_MICS6
6_Congo_MICS6_3_8_3,6_Congo_MICS6_3_8,6_Congo_MICS6_3_8_3,Congo_MICS6
6_Congo_MICS6_3_10_2,6_Congo_MICS6_3_10,6_Congo_MICS6_3_10_2,Congo_MICS6
6_Congo_MICS6_3_11_2,6_Congo_MICS6_3_11,6_Congo_MICS6_3_11_2,Congo_MICS6
6_Congo_MICS6_3_12_1,6_Congo_MICS6_3_12,6_Congo_MICS6_3_12_1,Congo_MICS6
6_Congo_MICS6_3_12_3,6_Congo_MICS6_3_12,6_Congo_MICS6_3_12_3,Congo_MICS6
6_Congo_MICS6_3_12_4,6_Congo_MICS6_3_12,6_Congo_MICS6_3_12_4,Congo_MICS6
6_Congo_MICS6_3_12_6,6_Congo_MICS6_3_12,6_Congo_MICS6_3_12_6,Congo_MICS6
6_Congo_MICS6_3_13_1,6_Congo_MICS6_3_13,6_Congo_MICS6_3_13_1,Congo_MICS6
6_Congo_MICS6_3_15_1,6_Congo_MICS6_3_15,6_Congo_MICS6_3_15_1,Congo_MICS6
6_Congo_MICS6_3_19_1,6_Congo_MICS6_3_19,6_Congo_MICS6_3_19_1,Congo_MICS6
6_Congo_MICS6_3_19_3,6_Congo_MICS6_3_19,6_Congo_MICS6_3_19_3,Congo_MICS6
6_Congo_MICS6_3_21_1,6_Congo_MICS6_3_21,6_Congo_MICS6_3_21_1,Congo_MICS6
6_Congo_MICS6_3_22_1,6_Congo_MICS6_3_22,6_Congo_MICS6_3_22_1,Congo_MICS6
6_Congo_MICS6_3_22_2,6_Congo_MICS6_3_22,6_Congo_MICS6_3_22_2,Congo_MICS6
6_Congo_MICS6_3_22_6,6_Congo_MICS6_3_22,6_Congo_MICS6_3_22_6,Congo_MICS6
6_Congo_MICS6_3_23_2,6_Congo_MICS6_3_23,6_Congo_MICS6_3_23_2,Congo_MICS6
6_Congo_MICS6_3_23_3,6_Congo_MICS6_3_23,6_Congo_MICS6_3_23_3,Congo_MICS6
6_Congo_MICS6_3_24_1,6_Congo_MICS6_3_24,6_Congo_MICS6_3_24_1,Congo_MICS6
6_Congo_MICS6_3_25_1,6_Congo_MICS6_3_25,6_Congo_MICS6_3_25_1,Congo_MICS6
6_Congo_MICS6_3_26_1,6_Congo_MICS6_3_26,6_Congo_MICS6_3_26_1,Congo_MICS6
6_Congo_MICS6_3_26_2,6_Congo_MICS6_3_26,6_Congo_MICS6_3_26_2,Congo_MICS6
6_Congo_MICS6_3_27_1,6_Congo_MICS6_3_27,6_Congo_MICS6_3_27_1,Congo_MICS6
6_Congo_MICS6_3_27_2,6_Congo_MICS6_3_27,6_Congo_MICS6_3_27_2,Congo_MICS6
6_Congo_MICS6_3_28_2,6_Congo_MICS6_3_28,6_Congo_MICS6_3_28_2,Congo_MICS6
6_Congo_MICS6_3_29_1,6_Congo_MICS6_3_29,6_Congo_MICS6_3_29_1,Congo_MICS6
6_Congo_MICS6_3_29_2,6_Congo_MICS6_3_29,6_Congo_MICS6_3_29_2,Congo_MICS6
6_Congo_MICS6_3_29_3,6_Congo_MICS6_3_29,6_Congo_MICS6_3_29_3,Congo_MICS6
6_Congo_MICS6_3_29_4,6_Congo_MICS6_3_29,6_Congo_MICS6_3_29_4,Congo_MICS6
6_Congo_MICS6_3_29_5,6_Congo_MICS6_3_29,6_Congo_MICS6_3_29_5,Congo_MICS6
6_Congo_MICS6_3_29_6,6_Congo_MICS6_3_29,6_Congo_MICS6_3_29_6,Congo_MICS6
6_Congo_MICS6_3_30_1,6_Congo_MICS6_3_30,6_Congo_MICS6_3_30_1,Congo_MICS6
6_Congo_MICS6_4_1_2,6_Congo_MICS6_4_1,6_Congo_MICS6_4_1_2,Congo_MICS6
6_Congo_MICS6_4_1_4,6_Congo_MICS6_4_1,6_Congo_MICS6_4_1_4,Congo_MICS6
6_Congo_MICS6_4_2_2,6_Congo_MICS6_4_2,6_Congo_MICS6_4_2_2,Congo_MICS6
6_Congo_MICS6_4_3_2,6_Congo_MICS6_4_3,6_Congo_MICS6_4_3_2,Congo_MICS6
6_Congo_MICS6_4_4_3,6_Congo_MICS6_4_4,6_Congo_MICS6_4_4_3,Congo_MICS6
6_Congo_MICS6_4_6_2,6_Congo_MICS6_4_6,6_Congo_MICS6_4_6_2,Congo_MICS6
6_Congo_MICS6_4_8_1,6_Congo_MICS6_4_8,6_Congo_MICS6_4_8_1,Congo_MICS6
6_Congo_MICS6_4_8_2,6_Congo_MICS6_4_8,6_Congo_MICS6_4_8_2,Congo_MICS6
6_Congo_MICS6_4_8_3,6_Congo_MICS6_4_8,6_Congo_MICS6_4_8_3,Congo_MICS6
