,WB6A,WB16,MT9,MT11,CM3,CM8,CP2,UN7,UN14N,VT9,MA1,AF10,AF11,SB2U,TA16,LS2
6_Congo_MICS6_151_19_2,20.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,,3.0
6_Congo_MICS6_151_21_2,10.0,,2.0,2.0,2.0,2.0,,,4.0,2.0,1.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_151_23_2,10.0,3.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_151_25_2,20.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,,4.0
6_Congo_MICS6_151_26_2,31.0,,2.0,2.0,1.0,2.0,1.0,1.0,24.0,2.0,1.0,1.0,1.0,1.0,,8.0
6_Congo_MICS6_151_27_2,10.0,,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,8.0
6_Congo_MICS6_151_28_2,20.0,,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,,8.0
6_Congo_MICS6_151_28_3,10.0,,2.0,2.0,,2.0,2.0,1.0,,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_151_30_2,31.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,7.0
6_Congo_MICS6_152_1_2,,3.0,2.0,2.0,,1.0,2.0,1.0,12.0,2.0,1.0,2.0,1.0,1.0,10.0,2.0
6_Congo_MICS6_152_1_3,,3.0,2.0,2.0,,2.0,,,3.0,2.0,2.0,1.0,1.0,1.0,,1.0
6_Congo_MICS6_152_2_2,,,2.0,2.0,2.0,2.0,1.0,8.0,24.0,2.0,3.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_152_3_2,31.0,,2.0,2.0,,2.0,2.0,3.0,93.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_152_4_1,,3.0,2.0,2.0,2.0,2.0,2.0,3.0,,2.0,3.0,1.0,1.0,1.0,,2.0
6_Congo_MICS6_152_5_2,10.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,8.0
6_Congo_MICS6_152_6_2,10.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,26.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_152_8_1,10.0,,2.0,2.0,2.0,2.0,1.0,8.0,18.0,2.0,1.0,1.0,1.0,2.0,,5.0
6_Congo_MICS6_152_9_1,10.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_152_10_2,31.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,20.0,2.0,1.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_152_11_2,,3.0,2.0,2.0,2.0,2.0,2.0,8.0,,2.0,1.0,1.0,1.0,1.0,,10.0
6_Congo_MICS6_152_12_2,10.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,3.0,,5.0
6_Congo_MICS6_152_12_3,10.0,,2.0,2.0,,2.0,2.0,1.0,3.0,2.0,3.0,,,2.0,,7.0
6_Congo_MICS6_152_13_2,20.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_152_14_2,10.0,3.0,2.0,2.0,5.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_152_15_2,10.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,10.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_152_15_4,10.0,,2.0,2.0,,2.0,2.0,8.0,10.0,2.0,3.0,,,,,6.0
6_Congo_MICS6_152_16_2,20.0,3.0,2.0,2.0,1.0,2.0,,,5.0,2.0,1.0,2.0,2.0,2.0,,5.0
6_Congo_MICS6_152_17_2,10.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,18.0,2.0,1.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_152_19_2,,,2.0,2.0,,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,,7.0
6_Congo_MICS6_152_20_2,10.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_152_22_2,,3.0,2.0,2.0,0.0,2.0,1.0,2.0,19.0,2.0,1.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_152_23_2,10.0,,2.0,2.0,3.0,2.0,1.0,2.0,18.0,2.0,1.0,2.0,1.0,1.0,,7.0
6_Congo_MICS6_152_23_3,10.0,,2.0,2.0,0.0,2.0,1.0,8.0,7.0,2.0,2.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_152_24_2,10.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,15.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_152_25_3,10.0,,2.0,2.0,,2.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,,9.0
6_Congo_MICS6_152_25_4,10.0,,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,3.0,,,2.0,,6.0
6_Congo_MICS6_152_25_5,10.0,,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,3.0,,,4.0,,7.0
6_Congo_MICS6_152_26_2,10.0,3.0,2.0,2.0,0.0,2.0,2.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,,6.0
6_Congo_MICS6_152_27_2,20.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_152_28_2,31.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,,4.0
6_Congo_MICS6_152_30_2,10.0,,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,,2.0
6_Congo_MICS6_153_2_2,10.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,8.0
6_Congo_MICS6_153_3_2,10.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,,8.0
6_Congo_MICS6_153_4_2,10.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,23.0,2.0,1.0,2.0,1.0,1.0,,4.0
6_Congo_MICS6_153_5_1,,3.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,5.0
6_Congo_MICS6_153_6_2,31.0,,2.0,2.0,1.0,2.0,1.0,8.0,21.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_153_8_1,20.0,3.0,2.0,2.0,2.0,2.0,,,4.0,2.0,1.0,1.0,1.0,1.0,,8.0
6_Congo_MICS6_153_9_2,,3.0,2.0,2.0,3.0,2.0,,,2.0,2.0,1.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_153_10_2,10.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_153_11_3,10.0,,2.0,2.0,,2.0,1.0,8.0,2.0,2.0,3.0,,,1.0,,10.0
6_Congo_MICS6_153_12_3,20.0,,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_153_15_1,,,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,,7.0
6_Congo_MICS6_153_16_2,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_153_18_2,10.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_153_18_3,10.0,,2.0,2.0,,2.0,,,3.0,2.0,2.0,1.0,1.0,2.0,,8.0
6_Congo_MICS6_153_19_2,,,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0
6_Congo_MICS6_154_5_2,,,2.0,2.0,,2.0,,,6.0,2.0,1.0,1.0,1.0,1.0,,2.0
6_Congo_MICS6_154_8_1,,,2.0,2.0,2.0,2.0,,,6.0,1.0,2.0,1.0,1.0,3.0,,2.0
6_Congo_MICS6_154_9_2,,,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,,4.0
6_Congo_MICS6_154_11_2,,3.0,2.0,2.0,0.0,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,2.0,,4.0
6_Congo_MICS6_154_12_2,10.0,,2.0,2.0,0.0,2.0,,,5.0,2.0,1.0,1.0,1.0,1.0,0.0,6.0
6_Congo_MICS6_154_13_2,31.0,,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_154_14_1,10.0,,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,,7.0
6_Congo_MICS6_154_15_2,20.0,3.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_154_15_3,10.0,,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,,,3.0
6_Congo_MICS6_154_16_2,10.0,,2.0,2.0,1.0,1.0,2.0,1.0,8.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0
6_Congo_MICS6_154_17_2,10.0,3.0,2.0,2.0,1.0,2.0,,,7.0,2.0,1.0,1.0,1.0,2.0,,3.0
6_Congo_MICS6_154_18_2,20.0,1.0,2.0,2.0,0.0,2.0,,,5.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_154_19_2,,,2.0,2.0,2.0,2.0,,,5.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_154_20_2,,3.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_154_21_2,10.0,,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,1.0,2.0,,6.0
6_Congo_MICS6_154_21_4,10.0,,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,3.0,1.0,1.0,3.0,,4.0
6_Congo_MICS6_154_22_3,10.0,,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,3.0,,,,,2.0
6_Congo_MICS6_154_23_2,,,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0
6_Congo_MICS6_154_24_2,10.0,,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_154_25_2,,3.0,2.0,2.0,1.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_154_26_2,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_154_28_2,,3.0,2.0,2.0,0.0,1.0,,,8.0,2.0,1.0,1.0,1.0,3.0,,3.0
6_Congo_MICS6_154_29_2,10.0,,2.0,2.0,,2.0,,,3.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_154_30_2,10.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0
6_Congo_MICS6_154_30_3,10.0,,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,,3.0
6_Congo_MICS6_154_30_5,10.0,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,,3.0
6_Congo_MICS6_155_4_2,10.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,6.0
6_Congo_MICS6_155_5_2,31.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_155_6_1,20.0,,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,,2.0
6_Congo_MICS6_155_7_2,31.0,3.0,2.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,4.0
6_Congo_MICS6_155_7_3,31.0,,2.0,2.0,,2.0,,,4.0,2.0,3.0,1.0,1.0,3.0,,6.0
6_Congo_MICS6_155_7_4,20.0,,2.0,2.0,,2.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,,,7.0
6_Congo_MICS6_155_9_1,31.0,,2.0,2.0,2.0,2.0,2.0,2.0,22.0,2.0,1.0,1.0,1.0,3.0,,4.0
6_Congo_MICS6_155_10_2,31.0,,2.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_155_17_3,,,2.0,2.0,1.0,2.0,2.0,2.0,8.0,2.0,3.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_155_19_1,10.0,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,3.0
6_Congo_MICS6_155_21_1,10.0,,2.0,2.0,2.0,2.0,2.0,3.0,12.0,2.0,3.0,1.0,1.0,4.0,,4.0
6_Congo_MICS6_155_22_2,10.0,,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_155_22_4,10.0,,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,,3.0
6_Congo_MICS6_155_23_3,31.0,,2.0,2.0,,2.0,,,5.0,2.0,2.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_155_24_2,10.0,,2.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_155_25_2,,3.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_155_26_2,31.0,,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_155_27_2,10.0,,2.0,2.0,3.0,2.0,2.0,2.0,16.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_155_28_3,,3.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_156_1_2,10.0,,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_156_3_2,31.0,,2.0,2.0,1.0,2.0,,,4.0,2.0,1.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_156_4_2,,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_156_6_2,20.0,,2.0,2.0,3.0,2.0,,,4.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_156_9_2,31.0,,2.0,2.0,5.0,2.0,2.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_156_11_2,,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_156_13_3,10.0,,2.0,2.0,,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,,3.0
6_Congo_MICS6_156_14_6,20.0,,2.0,2.0,,2.0,2.0,3.0,7.0,2.0,3.0,1.0,1.0,3.0,5.0,6.0
6_Congo_MICS6_156_16_2,20.0,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_156_17_2,10.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,,4.0
6_Congo_MICS6_156_18_2,10.0,,2.0,2.0,,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0
6_Congo_MICS6_156_19_3,10.0,,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,3.0,,,3.0,,2.0
6_Congo_MICS6_156_20_2,,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,6.0
6_Congo_MICS6_156_23_4,20.0,,2.0,2.0,,2.0,2.0,1.0,5.0,2.0,3.0,,,,,5.0
6_Congo_MICS6_156_24_2,10.0,,2.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,10.0,3.0
6_Congo_MICS6_156_24_3,31.0,,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,,4.0
6_Congo_MICS6_156_24_4,20.0,,2.0,2.0,,2.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,,3.0
6_Congo_MICS6_156_25_2,,3.0,2.0,2.0,2.0,2.0,,,5.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0
6_Congo_MICS6_156_26_2,31.0,3.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_156_28_3,,,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,4.0,0.0,4.0
6_Congo_MICS6_156_29_2,10.0,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,4.0
6_Congo_MICS6_157_1_2,,,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0
6_Congo_MICS6_157_2_2,10.0,,2.0,2.0,,2.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_157_3_3,31.0,,2.0,2.0,1.0,2.0,,,2.0,2.0,1.0,1.0,1.0,1.0,0.0,6.0
6_Congo_MICS6_157_4_2,20.0,,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_157_5_2,10.0,,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,3.0
6_Congo_MICS6_157_6_2,,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_157_7_2,20.0,,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_157_10_2,31.0,3.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0
6_Congo_MICS6_157_11_2,32.0,,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,,6.0
6_Congo_MICS6_157_15_2,,,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_157_16_2,20.0,,2.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,3.0
6_Congo_MICS6_157_17_2,10.0,,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_157_17_3,20.0,,2.0,2.0,0.0,2.0,2.0,2.0,10.0,2.0,2.0,1.0,1.0,2.0,,4.0
6_Congo_MICS6_157_17_4,20.0,,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,3.0,,,,,4.0
6_Congo_MICS6_157_19_2,32.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_157_20_2,10.0,,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_157_20_4,20.0,,2.0,2.0,,2.0,2.0,3.0,,2.0,3.0,,,,,6.0
6_Congo_MICS6_157_21_2,,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,,3.0
6_Congo_MICS6_157_23_2,10.0,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_157_24_2,,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_157_26_2,10.0,,2.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_157_27_2,,3.0,2.0,2.0,1.0,2.0,,,8.0,2.0,1.0,1.0,1.0,2.0,,6.0
6_Congo_MICS6_157_28_2,10.0,,2.0,2.0,,2.0,,,6.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_157_30_2,,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,3.0
6_Congo_MICS6_158_3_2,,,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0
6_Congo_MICS6_158_6_2,10.0,,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,10.0,4.0
6_Congo_MICS6_158_7_2,10.0,,2.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,3.0
6_Congo_MICS6_158_8_1,40.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,6.0
6_Congo_MICS6_158_10_2,31.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_158_11_2,10.0,,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_158_11_4,20.0,,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,,4.0
6_Congo_MICS6_158_12_1,20.0,,2.0,2.0,1.0,2.0,2.0,2.0,6.0,2.0,3.0,1.0,1.0,3.0,0.0,3.0
6_Congo_MICS6_158_13_2,20.0,,2.0,2.0,0.0,2.0,1.0,1.0,15.0,2.0,1.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_158_14_1,20.0,,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,,4.0
6_Congo_MICS6_158_15_1,31.0,1.0,2.0,2.0,,2.0,,,5.0,2.0,2.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_158_16_2,10.0,1.0,2.0,2.0,,2.0,,,8.0,2.0,1.0,2.0,2.0,2.0,,4.0
6_Congo_MICS6_158_17_2,10.0,3.0,2.0,2.0,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0
6_Congo_MICS6_158_17_3,10.0,,2.0,2.0,,2.0,2.0,8.0,,2.0,3.0,,,,,2.0
6_Congo_MICS6_158_19_2,31.0,1.0,2.0,2.0,1.0,2.0,,,5.0,2.0,1.0,1.0,1.0,1.0,,8.0
6_Congo_MICS6_158_19_3,20.0,1.0,2.0,2.0,,2.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,6.0
6_Congo_MICS6_158_20_2,20.0,,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_158_22_2,31.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_158_24_2,,,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,3.0
6_Congo_MICS6_158_24_3,31.0,1.0,2.0,2.0,,2.0,,,6.0,2.0,2.0,1.0,1.0,2.0,,3.0
6_Congo_MICS6_158_25_1,,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,5.0
6_Congo_MICS6_158_27_5,20.0,,2.0,2.0,,2.0,2.0,3.0,,2.0,3.0,1.0,1.0,4.0,,5.0
6_Congo_MICS6_158_30_2,10.0,,2.0,2.0,0.0,2.0,2.0,2.0,12.0,2.0,3.0,1.0,1.0,2.0,,4.0
6_Congo_MICS6_159_3_2,10.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0
6_Congo_MICS6_159_4_2,20.0,,2.0,2.0,1.0,2.0,2.0,1.0,12.0,2.0,2.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_159_5_2,20.0,,2.0,2.0,2.0,2.0,2.0,1.0,15.0,2.0,2.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_159_6_1,10.0,,2.0,2.0,3.0,2.0,2.0,2.0,20.0,2.0,3.0,1.0,1.0,4.0,0.0,3.0
6_Congo_MICS6_159_7_1,10.0,3.0,2.0,2.0,,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,,3.0
6_Congo_MICS6_159_8_2,31.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,0.0,5.0
6_Congo_MICS6_159_8_4,20.0,,2.0,2.0,,2.0,2.0,1.0,4.0,2.0,3.0,,,,,5.0
6_Congo_MICS6_159_10_2,20.0,,2.0,2.0,0.0,2.0,,,3.0,2.0,2.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_159_11_2,20.0,,2.0,2.0,,2.0,,,7.0,2.0,2.0,,,1.0,,5.0
6_Congo_MICS6_159_12_5,20.0,,2.0,2.0,,2.0,2.0,3.0,2.0,2.0,3.0,,,,,6.0
6_Congo_MICS6_159_13_2,20.0,,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_159_14_2,10.0,,2.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_159_14_4,10.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0
6_Congo_MICS6_159_15_1,,,2.0,2.0,2.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,3.0,,8.0
6_Congo_MICS6_159_15_2,20.0,,2.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,3.0,,6.0
6_Congo_MICS6_159_15_3,10.0,,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,,3.0
6_Congo_MICS6_159_16_2,10.0,3.0,2.0,2.0,2.0,2.0,,,8.0,2.0,2.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_159_17_2,31.0,,2.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_159_18_2,10.0,,2.0,2.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,8.0
6_Congo_MICS6_159_20_2,31.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,5.0
