,WB6A,WB16,MT9,MT11,CM3,CM8,CP2,UN7,UN14N,VT9,MA1,AF10,AF11,SB2U,TA16,LS2
6_Congo_MICS6_1_29_3,10.0,1.0,2.0,2.0,,2.0,2.0,1.0,13.0,2.0,3.0,,,,,10.0
6_Congo_MICS6_1_30_3,31.0,,1.0,1.0,1.0,2.0,2.0,1.0,16.0,2.0,3.0,2.0,1.0,4.0,,5.0
6_Congo_MICS6_1_30_4,32.0,,2.0,2.0,,2.0,2.0,1.0,5.0,2.0,3.0,2.0,1.0,2.0,,8.0
6_Congo_MICS6_2_1_2,31.0,1.0,2.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_2_2_2,31.0,,2.0,1.0,3.0,2.0,,,4.0,2.0,1.0,1.0,1.0,2.0,,5.0
6_Congo_MICS6_2_5_1,34.0,,2.0,1.0,2.0,2.0,1.0,2.0,7.0,2.0,3.0,1.0,1.0,1.0,,3.0
6_Congo_MICS6_2_6_2,32.0,,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_2_7_2,31.0,,2.0,1.0,1.0,2.0,1.0,1.0,94.0,2.0,1.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_2_8_3,40.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,10.0,8.0
6_Congo_MICS6_2_9_2,32.0,,2.0,2.0,1.0,2.0,1.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_2_10_2,31.0,,2.0,2.0,1.0,2.0,,,4.0,2.0,1.0,1.0,1.0,2.0,,6.0
6_Congo_MICS6_2_11_2,,,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_2_12_1,10.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,2.0,1.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_2_13_2,31.0,,2.0,2.0,2.0,2.0,1.0,2.0,11.0,2.0,1.0,1.0,1.0,2.0,,4.0
6_Congo_MICS6_2_14_2,31.0,,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,,6.0
6_Congo_MICS6_2_15_2,,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_2_16_2,,,,,,,,,,,,,,,,
6_Congo_MICS6_2_18_2,31.0,,2.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,,6.0
6_Congo_MICS6_2_19_2,,,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,8.0
6_Congo_MICS6_2_20_5,32.0,,2.0,2.0,,2.0,1.0,8.0,1.0,2.0,3.0,,,3.0,,5.0
6_Congo_MICS6_2_20_6,31.0,,2.0,1.0,,2.0,2.0,8.0,6.0,2.0,3.0,1.0,1.0,2.0,10.0,4.0
6_Congo_MICS6_2_21_2,31.0,,2.0,1.0,2.0,2.0,,,6.0,2.0,1.0,1.0,1.0,2.0,,4.0
6_Congo_MICS6_2_21_7,40.0,,1.0,1.0,,2.0,2.0,8.0,2.0,2.0,3.0,1.0,1.0,,,6.0
6_Congo_MICS6_2_22_4,32.0,3.0,2.0,1.0,,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,4.0,,3.0
6_Congo_MICS6_2_22_5,20.0,,1.0,1.0,,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_2_22_6,31.0,,2.0,1.0,,2.0,2.0,1.0,5.0,2.0,3.0,2.0,1.0,3.0,,3.0
6_Congo_MICS6_2_22_7,32.0,,2.0,1.0,,2.0,2.0,8.0,2.0,2.0,3.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_2_24_2,31.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_2_25_1,20.0,,2.0,1.0,3.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,4.0,,4.0
6_Congo_MICS6_2_26_2,40.0,,1.0,1.0,0.0,2.0,,,5.0,2.0,1.0,1.0,1.0,3.0,,6.0
6_Congo_MICS6_2_26_3,31.0,,1.0,1.0,,2.0,2.0,8.0,2.0,2.0,3.0,,,,,7.0
6_Congo_MICS6_2_27_2,31.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,7.0
6_Congo_MICS6_2_27_3,31.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,,3.0
6_Congo_MICS6_2_27_4,31.0,1.0,2.0,2.0,,2.0,2.0,8.0,3.0,2.0,3.0,,,,,5.0
6_Congo_MICS6_2_27_5,20.0,1.0,2.0,2.0,,2.0,2.0,8.0,1.0,2.0,3.0,,,,,4.0
6_Congo_MICS6_2_28_2,32.0,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_2_29_2,40.0,,2.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,,7.0
6_Congo_MICS6_2_30_2,31.0,,2.0,1.0,,2.0,2.0,8.0,7.0,2.0,3.0,,,,,6.0
6_Congo_MICS6_3_1_2,40.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,11.0,2.0,1.0,1.0,1.0,1.0,,6.0
6_Congo_MICS6_3_2_1,40.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,93.0,2.0,3.0,2.0,1.0,4.0,10.0,7.0
6_Congo_MICS6_3_2_2,40.0,1.0,1.0,1.0,,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,,6.0
6_Congo_MICS6_3_2_5,31.0,,2.0,1.0,,2.0,1.0,9.0,2.0,2.0,3.0,,,,,5.0
6_Congo_MICS6_3_2_7,40.0,6.0,1.0,1.0,,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,,6.0
6_Congo_MICS6_3_2_8,31.0,3.0,2.0,1.0,,2.0,1.0,1.0,10.0,2.0,3.0,3.0,1.0,4.0,,6.0
6_Congo_MICS6_3_3_2,40.0,,1.0,1.0,1.0,2.0,,,9.0,2.0,1.0,1.0,1.0,3.0,,7.0
6_Congo_MICS6_3_3_5,40.0,,2.0,1.0,,2.0,1.0,8.0,6.0,2.0,3.0,1.0,1.0,2.0,,6.0
6_Congo_MICS6_3_4_2,40.0,1.0,,1.0,,2.0,2.0,1.0,11.0,2.0,3.0,1.0,1.0,,,5.0
